season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
10,Main,DRX,Deft,9,4,5,44.4,1.78,1.56,5.56,4.71,302.22,9.12,13.6,409,16300,493,64.1,15.5,22.7
10,Main,DRX,Doran,9,4,5,44.4,2.44,2.11,4.78,3.42,287.11,8.66,13,393,16300,492,63.1,21.4,21.8
10,Main,DRX,Keria,9,4,5,44.4,1.33,2.56,6.11,2.91,43.11,1.3,7.7,233,5100,155,65,11.7,12.9
10,Main,DRX,Pyosik,9,4,5,44.4,4.11,2.33,4.67,3.76,224,6.76,12.1,364,12900,389,76.7,35.9,20.2
10,Main,FlyQuest,IgNar,6,3,3,50,0.67,2.5,6.5,2.87,29.17,0.91,7.2,225,4500,142,59.7,5.6,12.9
10,Main,FlyQuest,PowerOfEvil,6,3,3,50,4.5,1.83,3.83,4.55,283,8.88,13.3,417,16100,505,69.4,37.5,23.9
10,Main,FlyQuest,Santorin,6,3,3,50,2.33,2.67,5.17,2.81,168.83,5.29,10.1,316,9600,300,62.5,19.4,18.2
10,Main,FlyQuest,Solo,6,3,3,50,1.17,4.5,4.17,1.19,241.17,7.56,11.3,354,13500,422,44.4,9.7,20.3
10,Main,FlyQuest,WildTurtle,6,3,3,50,3.33,1.83,4.17,4.09,283.83,8.9,13.7,430,14300,448,62.5,27.8,24.7
10,Main,Fnatic,Bwipo,11,6,5,54.5,2.09,2.27,4.91,3.08,238.45,8.07,11.5,387,12500,422,58.8,17.6,21.5
10,Main,Fnatic,Hylissang,11,6,5,54.5,1,2.82,6.91,2.81,35,1.18,6.9,233,4400,148,66.4,8.4,12.9
10,Main,Fnatic,Nemesis,11,6,5,54.5,3.18,1.73,4.18,4.26,252.09,8.53,11.6,393,11500,389,61.8,26.7,21.8
10,Main,Fnatic,Rekkles,11,6,5,54.5,2.27,1.09,6,7.58,272.55,9.22,12.1,411,10500,356,69.5,19.1,22.8
10,Main,Fnatic,Selfmade,11,6,5,54.5,3.36,2.09,4.82,3.91,210.91,7.14,11.1,376,11700,396,68.7,28.2,20.9
10,Main,G2_Esports,Caps,14,8,6,57.1,4.43,2.86,7.43,4.15,268.71,8.42,13.1,411,18100,568,72.8,27.2,22.5
10,Main,G2_Esports,Jankos,14,8,6,57.1,3.57,3,7.86,3.81,201.21,6.3,11.5,359,12400,390,70.2,21.9,19.7
10,Main,G2_Esports,Mikyx,14,8,6,57.1,1.29,3.57,9.43,3,39.5,1.24,7.7,242,7800,244,65.8,7.9,13.2
10,Main,G2_Esports,Perkz,14,8,6,57.1,4.29,2.43,6.93,4.62,288.36,9.03,13.8,434,18900,592,68.9,26.3,23.7
